geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
gtm,Guatemala,61.86061,65.45026,65.50615,64.23289,64.60441,67.06768,64.24185,65.05258,64.00729,60.63449,63.67878,63.31356,62.61981,58.99893,59.20525,60.39052,60.66624,63.07294,62.30888,60.70774,60.73391,63.90243,65.34978
guy,Guyana,43.75164,45.93526,43.81149,41.80724,40.37706,38.17235,38.36195,35.85983,38.39975,35.70731,37.76995,37.84277,42.28038,41.25961,39.08172,36.64801,32.53943,31.34977,36.66505,38.07092,25.09641,30.69508,25.06688
hnd,Honduras,48.99342,56.13752,55.04675,52.55167,54.48574,52.58927,53.18814,52.94242,54.25918,47.56278,50.10341,49.57763,53.85296,53.52211,53.40188,55.5829,54.9218,55.57439,57.62814,57.90351,56.29789,57.505,55.746
hrv,Croatia,14.97479,17.80027,20.98831,18.66982,20.18117,15.01113,15.34054,13.56823,16.16957,17.16978,16.59098,18.02869,17.3478,14.94732,15.95567,16.88347,17.14746,17.14684,17.54514,18.44832,18.22047,15.88676,15.52971
hti,Haiti,46.69159,47.60056,50.88784,51.00587,49.49686,49.33516,46.45662,43.3788,42.02285,42.54766,35.98209,28.18362,31.03732,40.02383,34.69729,38.06922,39.54848,53.87294,46.93829,47.32492,56.85891,53.33983,58.38037
hun,Hungary,31.15368,33.09784,30.75987,30.01811,30.37527,29.84212,29.64621,32.21143,32.25327,32.01832,33.37443,33.78297,35.15967,33.79024,33.27829,32.21473,32.28888,31.53894,30.77866,31.67456,29.52671,27.77992,27.66316
idn,Indonesia,67.40992,59.51456,64.58784,62.37354,62.73161,69.458,66.92236,62.26915,63.59497,63.25576,75.45695,75.56676,72.71174,70.38718,64.48093,59.91054,53.94568,52.83429,50.91792,50.87227,44.32586,38.54431,47.25454
ind,India,76.63829,78.79404,79.38269,79.7647,79.78324,78.34147,78.05872,77.58826,75.50202,73.3713,72.82318,70.25713,71.06797,76.65865,75.58838,73.6481,72.51978,66.46324,65.24591,64.37737,63.09275,58.58843,59.72155
irl,Ireland,22.48553,21.56138,21.00878,21.23682,21.08355,21.13215,22.17467,20.76661,20.67852,22.92829,23.82225,27.93372,28.08427,29.20068,28.79944,28.20676,27.53118,27.02087,27.00347,25.75121,21.96559,22.60289,22.64358
irn,Iran,62.2855,61.65392,60.6457,60.5491,63.31456,62.75683,58.23842,60.11625,62.86646,63.34334,67.63966,66.63894,65.68593,61.50382,49.62344,50.99255,55.03964,53.93113,55.55915,55.51872,48.5687,44.52058,50.40491
irq,Iraq,,,,54.57549,28.63712,29.07124,32.62559,29.57801,21.34615,22.39396,26.05046,25.05031,62.22321,58.83205,62.36076,76.21037,44.26523,58.0601,50.40485,50.09696,54.66121,49.90874,47.83436
isl,Iceland,19.22293,19.35814,18.62097,18.72434,19.05083,18.99816,18.41727,17.9824,17.78687,18.36163,20.1394,19.86753,19.95801,19.64466,19.3611,19.04515,18.3585,18.00013,17.49385,17.07066,16.55681,16.21808,15.31893
isr,Israel,34.5682,35.31152,33.76638,35.47483,35.9638,38.02794,36.24099,38.10841,37.32371,37.47962,35.9065,36.06482,35.98135,35.19378,35.5348,35.17883,35.34525,34.7407,33.94912,33.76731,31.454,32.17767,32.6632
ita,Italy,27.36185,25.37806,25.04142,24.66635,23.756,22.51142,22.24953,22.51229,22.32471,21.69488,21.54641,22.98722,24.12319,24.24148,24.57507,25.56458,25.59897,26.26462,26.13889,26.25511,24.07125,25.55116,25.55956
jam,Jamaica,43.29117,52.92988,41.12428,50.78745,46.69748,49.49801,50.85508,48.10863,45.79704,40.28724,40.28167,38.62009,39.79473,38.99634,39.32259,35.32679,34.83057,32.45263,33.33992,33.15884,30.20899,27.42883,22.50774
jor,Jordan,52.42215,51.66932,50.45732,49.77238,46.43835,45.38559,43.72093,40.01986,38.09524,29.06036,28.78018,28.80562,29.44191,32.11637,29.63945,45.65897,49.50657,50.59503,53.79945,53.64096,56.016,56.0835,56.59029
jpn,Japan,19.56947,19.03592,19.24703,20.03619,19.72579,18.83204,19.67846,18.75071,18.82938,18.70582,18.07276,16.25937,16.06931,15.73909,15.88214,15.91702,15.96279,15.78531,16.22906,16.03605,14.84653,14.81135,13.98633
kaz,Kazakhstan,49.05248,43.35421,46.50394,45.13917,41.59066,34.96823,31.71068,33.56393,24.73353,23.21887,31.54311,28.67433,31.69793,30.45618,28.1651,36.7729,40.20116,37.81248,39.00832,40.06179,34.16453,34.57689,38.22725
ken,Kenya,58.54338,57.38871,55.19612,55.34002,53.90816,54.52157,47.47565,46.1615,44.84187,42.82728,42.23286,42.81203,43.28137,43.66942,42.57377,41.69891,40.98428,35.97361,34.73561,35.51104,33.64291,32.7051,34.90715
kgz,Kyrgyz Republic,51.64645,53.16456,51.66137,51.07937,46.59613,42.5697,39.18015,42.91151,48.67649,38.58998,43.0915,43.54014,43.24369,46.41521,56.32426,54.56787,57.22209,56.40576,46.66033,46.25528,45.99376,39.09709,38.45182
khm,Cambodia,78.15033,76.02865,72.85701,68.15056,64.7884,68.03532,64.81504,50.19848,68.3043,67.78001,66.43668,71.8157,61.24113,61.29593,58.78769,57.93456,64.96758,64.29043,66.61172,69.18744,66.67333,59.03094,65.77032
kir,Kiribati,3.31964,1.92735,2.14355,2.84427,2.24869,2.69258,2.02392,2.15564,2.24641,2.87553,4.0216,3.98174,4.80899,3.3828,3.77921,4.79099,3.73359,3.11566,2.9537,3.20931,2.82873,2.82584,3.32919
kna,St. Kitts and Nevis,58.07799,56.34655,56.65087,55.87849,50.89441,52.94104,55.22057,56.36955,62.73705,60.33302,60.92031,61.27672,60.83057,61.70816,59.0817,62.16568,59.86155,58.42835,54.04255,50.74451,46.18562,42.51492,47.37337
kor,South Korea,49.38756,45.83085,45.24842,49.73865,49.27391,48.79645,46.91286,45.04679,45.92036,44.78982,44.5507,45.16893,45.23912,44.97604,45.08036,45.22739,44.22266,43.37556,42.82225,42.17,40.67709,39.34584,37.24528
kwt,Kuwait,27.45529,21.11251,23.19673,23.10641,23.73571,23.78947,23.47505,23.57627,21.90767,18.41666,15.79921,15.52701,16.53852,16.03164,15.41118,15.14078,14.68379,14.29076,11.77059,11.85188,10.37588,9.04578,12.76305
lao,Lao,61.33134,48.49235,56.80447,61.62332,55.20496,52.61208,50.24879,57.43625,59.47414,47.29646,62.55179,53.52559,51.94341,51.30715,53.46399,47.82938,49.47958,48.14107,48.85313,41.85755,43.87913,35.77369,32.66844
lbn,Lebanon,70.08468,67.0755,66.85821,65.63135,62.02133,61.11149,58.10148,57.84572,59.56252,60.01143,58.91976,55.5687,55.99892,54.81499,51.62423,51.2276,50.41613,50.38428,52.24119,47.31144,45.38058,60.70548,58.44436
lbr,Liberia,77.56686,67.06732,63.42174,65.78307,77.98283,71.52948,69.01538,46.19538,37.81902,52.60827,56.37091,50.56223,49.21627,43.38848,52.03065,53.68643,55.2546,54.67891,51.71248,59.15144,71.68729,70.98199,70.55217
lby,Libya,51.29111,45.52794,33.08924,33.75513,34.21351,35.34672,34.62699,33.44186,32.26568,31.10063,29.97364,36.66829,26.10514,26.54751,33.62598,30.71803,32.4947,33.78141,28.24107,28.01716,21.14136,26.32909,30.46777
lca,St. Lucia,65.58813,65.0964,65.81324,68.1417,66.54404,64.83586,66.41738,70.74608,66.42404,63.47808,61.87216,62.07652,58.15743,58.14124,58.17279,54.9469,51.96625,52.17812,52.07975,49.30253,41.31826,42.78984,44.06105
lka,Sri Lanka,45.45687,46.71311,46.35094,43.8592,46.7873,46.51677,46.55853,50.39843,55.92299,58.19238,58.40319,56.94635,57.39594,53.93697,54.06346,54.67241,56.01027,56.05602,52.81345,51.33297,49.36506,48.49193,45.37254
lso,Lesotho,39.72736,38.50114,37.82059,32.46589,31.50066,34.38765,30.02318,24.052,22.01409,19.72054,25.82413,19.21251,17.31188,14.33836,14.61152,16.00917,16.25435,16.14315,14.83437,7.48818,16.44535,15.11352,12.99773
